"","account_length","number_vmail_messages","total_day_minutes","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_eve_charge","total_night_minutes","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls"
"account_length",1,-0.0145746662678309,-0.00101749080668046,0.0282402278814649,-0.00101919796141604,-0.00959133313754273,0.0091425790360243,-0.00958739582273061,0.00066791118228052,-0.00782547848770581,0.00065589367780988,0.00129083942745979,0.0142772733182968,0.00129181120627038,-0.00144479176516218
"number_vmail_messages",-0.0145746662678309,1,0.00538137596065453,0.00088312800677481,0.00537679585169136,0.0194901207547253,-0.00395437280936198,0.0194959756531538,0.00554138381274294,0.00267622022725579,0.00553492813516862,0.00246270176753467,0.000124330246097495,0.0025051773206448,-0.00708564269309663
"total_day_minutes",-0.00101749080668046,0.00538137596065453,1,0.00193514869578939,0.999999950983199,-0.0107504273868665,0.00812813047312651,-0.0107600217262276,0.0117986599992441,0.00423609990726676,0.011782532764223,-0.0194857463258326,-0.0013031234662256,-0.0194147972284128,0.00273257616182915
"total_day_calls",0.0282402278814649,0.00088312800677481,0.00193514869578939,1,0.0019358843646607,-0.000699411470804487,0.00375417869528427,-0.000695221675211667,0.00280446497470735,-0.00830834671722547,0.00280181687927246,0.0130972197546729,0.0108928532677101,0.0131613975562501,-0.0107394950831213
"total_day_charge",-0.00101919796141604,0.00537679585169136,0.999999950983199,0.0019358843646607,1,-0.0107472968375224,0.00812931900416199,-0.0107568930547879,0.0118014338600121,0.00423493374025573,0.0117853011631361,-0.019489700097492,-0.0013066352815059,-0.019418754763563,0.00272637019247306
"total_eve_minutes",-0.00959133313754273,0.0194901207547253,-0.0107504273868665,-0.000699411470804487,-0.0107472968375224,1,0.00276301940674977,0.99999977486324,-0.0166391160441163,0.0134202162750556,-0.016642042112908,0.000136548745582508,0.00838815587757398,0.000159315515814526,-0.0138234228077476
"total_eve_calls",0.0091425790360243,-0.00395437280936198,0.00812813047312651,0.00375417869528427,0.00812931900416199,0.00276301940674977,1,0.00277809711479075,0.00178141055044474,-0.0136823407974518,0.00179938042293504,-0.00745845833421273,0.00557449991698734,-0.00750715080110308,0.00623483056252377
"total_eve_charge",-0.00958739582273061,0.0194959756531538,-0.0107600217262276,-0.000695221675211667,-0.0107568930547879,0.99999977486324,0.00277809711479075,1,-0.0166489191245725,0.0134220174126908,-0.0166518367272825,0.000132023814226056,0.00839306033175921,0.000154778337218651,-0.0138363623209916
"total_night_minutes",0.00066791118228052,0.00554138381274294,0.0117986599992441,0.00280446497470735,0.0118014338600121,-0.0166391160441163,0.00178141055044474,-0.0166489191245725,1,0.0269718182230851,0.999999207186797,-0.00672096692159802,-0.0172140161517321,-0.00665458734571439,-0.00853253646455955
"total_night_calls",-0.00782547848770581,0.00267622022725579,0.00423609990726676,-0.00830834671722547,0.00423493374025573,0.0134202162750556,-0.0136823407974518,0.0134220174126908,0.0269718182230851,1,0.0269494913923877,0.000390757299628326,-0.000155755729825374,0.000368005749948995,-0.00828260746772498
"total_night_charge",0.00065589367780988,0.00553492813516862,0.011782532764223,0.00280181687927246,0.0117853011631361,-0.016642042112908,0.00179938042293504,-0.0166518367272825,0.999999207186797,0.0269494913923877,1,-0.00671653760389916,-0.0171821572764914,-0.00665015684803003,-0.00853007679436781
"total_intl_minutes",0.00129083942745979,0.00246270176753467,-0.0194857463258326,0.0130972197546729,-0.019489700097492,0.000136548745582508,-0.00745845833421273,0.000132023814226056,-0.00672096692159802,0.000390757299628326,-0.00671653760389916,1,0.0167914752192571,0.999992657020837,-0.0121218123854596
"total_intl_calls",0.0142772733182968,0.000124330246097495,-0.0013031234662256,0.0108928532677101,-0.0013066352815059,0.00838815587757398,0.00557449991698734,0.00839306033175921,-0.0172140161517321,-0.000155755729825374,-0.0171821572764914,0.0167914752192571,1,0.0169000934051522,-0.019146650425207
"total_intl_charge",0.00129181120627038,0.0025051773206448,-0.0194147972284128,0.0131613975562501,-0.019418754763563,0.000159315515814526,-0.00750715080110308,0.000154778337218651,-0.00665458734571439,0.000368005749948995,-0.00665015684803003,0.999992657020837,0.0169000934051522,1,-0.0121803342612512
"number_customer_service_calls",-0.00144479176516218,-0.00708564269309663,0.00273257616182915,-0.0107394950831213,0.00272637019247306,-0.0138234228077476,0.00623483056252377,-0.0138363623209916,-0.00853253646455955,-0.00828260746772498,-0.00853007679436781,-0.0121218123854596,-0.019146650425207,-0.0121803342612512,1
