"comparison","diff","lwr","upr","p adj"
"5:3-3:3",-0.000847446544917749,-0.0225606353213407,0.0208657422315052,0.999999998516315
"10:3-3:3",-0.00169837183246345,-0.021270375704269,0.0178736320393421,0.999999155586189
"3:5-3:3",0.0622422583342376,0.0379661752780541,0.0865183413904212,3.0752056456862e-10
"5:5-3:3",0.0676661295128807,0.0459529407364578,0.0893793182893036,3.07189051973467e-10
"10:5-3:3",0.0703243764482802,0.0507523725764747,0.0898963803200857,3.07140757271895e-10
"3:None-3:3",0.738045304408327,0.713769221352144,0.762321387464511,3.0710578524662e-10
"5:None-3:3",0.749916556010656,0.728203367234233,0.771629744787079,3.0710578524662e-10
"10:None-3:3",0.75453229067379,0.734960286801984,0.774104294545595,3.0710578524662e-10
"10:3-5:3",-0.000850925287545704,-0.0171358168698629,0.0154339662947715,0.999999984833161
"3:5-5:3",0.0630897048791554,0.0413765161027324,0.0848028936555783,3.07188607884257e-10
"5:5-5:3",0.0685135760577984,0.049709402980249,0.0873177491353479,3.07128100729415e-10
"10:5-5:3",0.071171822993198,0.0548869314108807,0.0874567145755152,3.0710578524662e-10
"3:None-5:3",0.738892750953245,0.717179562176822,0.760605939729668,3.0710578524662e-10
"5:None-5:3",0.750764002555574,0.731959829478024,0.769568175633123,3.0710578524662e-10
"10:None-5:3",0.755379737218707,0.73909484563639,0.771664628801024,3.0710578524662e-10
"3:5-10:3",0.0639406301667011,0.0443686262948956,0.0835126340385066,3.07189607084979e-10
"5:5-10:3",0.0693645013453442,0.0530796097630269,0.0856493929276614,3.0710578524662e-10
"10:5-10:3",0.0720227482807437,0.058726189983003,0.0853193065784844,3.0710578524662e-10
"3:None-10:3",0.739743676240791,0.720171672368985,0.759315680112596,3.0710578524662e-10
"5:None-10:3",0.751614927843119,0.735330036260802,0.767899819425437,3.0710578524662e-10
"10:None-10:3",0.756230662506253,0.742934104208512,0.769527220803994,3.0710578524662e-10
"5:5-3:5",0.00542387117864306,-0.0162893175977799,0.027137059955066,0.997409834274925
"10:5-3:5",0.00808211811404257,-0.011489885757763,0.0276541219858481,0.935162556572198
"3:None-3:5",0.675803046074089,0.651526963017906,0.700079129130273,3.0710578524662e-10
"5:None-3:5",0.687674297676418,0.665961108899995,0.709387486452841,3.0710578524662e-10
"10:None-3:5",0.692290032339552,0.672718028467746,0.711862036211357,3.0710578524662e-10
"10:5-5:5",0.00265824693539951,-0.0136266446469177,0.0189431385177167,0.999886234018667
"3:None-5:5",0.670379174895446,0.648665986119023,0.692092363671869,3.0710578524662e-10
"5:None-5:5",0.682250426497775,0.663446253420226,0.701054599575325,3.0710578524662e-10
"10:None-5:5",0.686866161160909,0.670581269578592,0.703151052743226,3.0710578524662e-10
"3:None-10:5",0.667720927960047,0.648148924088241,0.687292931831852,3.0710578524662e-10
"5:None-10:5",0.679592179562376,0.663307287980058,0.695877071144693,3.0710578524662e-10
"10:None-10:5",0.684207914225509,0.670911355927769,0.69750447252325,3.0710578524662e-10
"5:None-3:None",0.0118712516023287,-0.00984193717409422,0.0335844403787516,0.744713822947812
"10:None-3:None",0.0164869862654624,-0.00308501760634311,0.0360589901372679,0.179215371514729
"10:None-5:None",0.0046157346631337,-0.0116691569191835,0.0209006262454509,0.993795002800096
