"variable","decision","reason"
"state","keep","Bien phan loai co y nghia thuc tien, chua co bang chung trong ngay 2 de loai bo."
"account_length","keep","Bien so nay chua phat hien trung lap thong tin manh trong buoc phan tich tuong quan."
"area_code","keep","Bien phan loai co y nghia thuc tien, chua co bang chung trong ngay 2 de loai bo."
"international_plan","keep","Bien phan loai co y nghia thuc tien, chua co bang chung trong ngay 2 de loai bo."
"voice_mail_plan","keep","Bien phan loai co y nghia thuc tien, chua co bang chung trong ngay 2 de loai bo."
"number_vmail_messages","keep","Bien so nay chua phat hien trung lap thong tin manh trong buoc phan tich tuong quan."
"total_day_minutes","keep","Giu lai vi phan anh truc tiep hanh vi su dung dich vu cua khach hang."
"total_day_calls","keep","Bien so nay chua phat hien trung lap thong tin manh trong buoc phan tich tuong quan."
"total_day_charge","drop","Bien charge tuong quan rat cao voi total_day_minutes; cuoc phi thuong duoc tinh tu thoi luong goi, nen giu charge se gay trung lap thong tin."
"total_eve_minutes","keep","Giu lai vi phan anh truc tiep hanh vi su dung dich vu cua khach hang."
"total_eve_calls","keep","Bien so nay chua phat hien trung lap thong tin manh trong buoc phan tich tuong quan."
"total_eve_charge","drop","Bien charge tuong quan rat cao voi total_eve_minutes; cuoc phi thuong duoc tinh tu thoi luong goi, nen giu charge se gay trung lap thong tin."
"total_night_minutes","keep","Giu lai vi phan anh truc tiep hanh vi su dung dich vu cua khach hang."
"total_night_calls","keep","Bien so nay chua phat hien trung lap thong tin manh trong buoc phan tich tuong quan."
"total_night_charge","drop","Bien charge tuong quan rat cao voi total_night_minutes; cuoc phi thuong duoc tinh tu thoi luong goi, nen giu charge se gay trung lap thong tin."
"total_intl_minutes","keep","Giu lai vi phan anh truc tiep hanh vi su dung dich vu cua khach hang."
"total_intl_calls","keep","Bien so nay chua phat hien trung lap thong tin manh trong buoc phan tich tuong quan."
"total_intl_charge","drop","Bien charge tuong quan rat cao voi total_intl_minutes; cuoc phi thuong duoc tinh tu thoi luong goi, nen giu charge se gay trung lap thong tin."
"number_customer_service_calls","keep","Bien so nay chua phat hien trung lap thong tin manh trong buoc phan tich tuong quan."
"churn","keep","Bien muc tieu cua bai toan du doan roi mang."
