"variable","detected_type"
"state","categorical"
"account_length","numeric"
"area_code","categorical"
"international_plan","categorical"
"voice_mail_plan","categorical"
"number_vmail_messages","numeric"
"total_day_minutes","numeric"
"total_day_calls","numeric"
"total_day_charge","numeric"
"total_eve_minutes","numeric"
"total_eve_calls","numeric"
"total_eve_charge","numeric"
"total_night_minutes","numeric"
"total_night_calls","numeric"
"total_night_charge","numeric"
"total_intl_minutes","numeric"
"total_intl_calls","numeric"
"total_intl_charge","numeric"
"number_customer_service_calls","numeric"
"churn","categorical"
