experiment,repeat,k,fold,max_depth,f1
CRD,1,3,1,None,0.7108753315649867
CRD,1,3,2,None,0.7395833333333334
CRD,1,3,3,None,0.779746835443038
CRD,2,3,1,None,0.7025641025641025
CRD,2,3,2,None,0.7068062827225131
CRD,2,3,3,None,0.751269035532995
CRD,3,3,1,None,0.7021276595744681
CRD,3,3,2,None,0.7272727272727273
CRD,3,3,3,None,0.7461928934010152
CRD,4,3,1,None,0.7487179487179487
CRD,4,3,2,None,0.7692307692307693
CRD,4,3,3,None,0.7165775401069518
CRD,5,3,1,None,0.7191601049868767
CRD,5,3,2,None,0.7360406091370558
CRD,5,3,3,None,0.7570332480818415
CRD,6,3,1,None,0.7421052631578947
CRD,6,3,2,None,0.7788944723618091
CRD,6,3,3,None,0.7238605898123325
CRD,7,3,1,None,0.7616580310880829
CRD,7,3,2,None,0.7296587926509186
CRD,7,3,3,None,0.7480916030534351
CRD,8,3,1,None,0.7531806615776081
CRD,8,3,2,None,0.7403598971722365
CRD,8,3,3,None,0.7282321899736148
CRD,9,3,1,None,0.7421052631578947
CRD,9,3,2,None,0.7832512315270936
CRD,9,3,3,None,0.7263157894736842
CRD,10,3,1,None,0.7461139896373057
CRD,10,3,2,None,0.7575757575757576
CRD,10,3,3,None,0.734375
CRD,1,5,1,None,0.7359307359307359
CRD,1,5,2,None,0.7359307359307359
CRD,1,5,3,None,0.74235807860262
CRD,1,5,4,None,0.7679324894514767
CRD,1,5,5,None,0.7918367346938775
CRD,2,5,1,None,0.6978723404255319
CRD,2,5,2,None,0.7368421052631579
CRD,2,5,3,None,0.6877828054298643
CRD,2,5,4,None,0.7319148936170212
CRD,2,5,5,None,0.8064516129032258
CRD,3,5,1,None,0.7510917030567685
CRD,3,5,2,None,0.7085201793721974
CRD,3,5,3,None,0.7350427350427351
CRD,3,5,4,None,0.7782426778242678
CRD,3,5,5,None,0.7257383966244726
CRD,4,5,1,None,0.7359307359307359
CRD,4,5,2,None,0.759493670886076
CRD,4,5,3,None,0.8178137651821862
CRD,4,5,4,None,0.6818181818181818
CRD,4,5,5,None,0.7615062761506276
CRD,5,5,1,None,0.7916666666666666
CRD,5,5,2,None,0.7531380753138075
CRD,5,5,3,None,0.74235807860262
CRD,5,5,4,None,0.7777777777777778
CRD,5,5,5,None,0.7647058823529411
CRD,6,5,1,None,0.7532467532467533
CRD,6,5,2,None,0.7368421052631579
CRD,6,5,3,None,0.7903225806451613
CRD,6,5,4,None,0.7404255319148936
CRD,6,5,5,None,0.7312775330396476
CRD,7,5,1,None,0.8117154811715481
CRD,7,5,2,None,0.7886178861788617
CRD,7,5,3,None,0.7368421052631579
CRD,7,5,4,None,0.7304347826086957
CRD,7,5,5,None,0.75
CRD,8,5,1,None,0.7542372881355932
CRD,8,5,2,None,0.7949790794979079
CRD,8,5,3,None,0.7666666666666667
CRD,8,5,4,None,0.6697247706422018
CRD,8,5,5,None,0.7848101265822784
CRD,9,5,1,None,0.7685589519650655
CRD,9,5,2,None,0.7186147186147186
CRD,9,5,3,None,0.7949790794979079
CRD,9,5,4,None,0.7818930041152263
CRD,9,5,5,None,0.6872246696035242
CRD,10,5,1,None,0.774468085106383
CRD,10,5,2,None,0.775
CRD,10,5,3,None,0.7489361702127659
CRD,10,5,4,None,0.7532467532467533
CRD,10,5,5,None,0.7457627118644068
CRD,1,10,1,None,0.6956521739130435
CRD,1,10,2,None,0.8034188034188035
CRD,1,10,3,None,0.717948717948718
CRD,1,10,4,None,0.7586206896551724
CRD,1,10,5,None,0.7758620689655172
CRD,1,10,6,None,0.711864406779661
CRD,1,10,7,None,0.7796610169491526
CRD,1,10,8,None,0.7768595041322314
CRD,1,10,9,None,0.8412698412698413
CRD,1,10,10,None,0.816
CRD,2,10,1,None,0.6964285714285714
CRD,2,10,2,None,0.7008547008547008
CRD,2,10,3,None,0.7226890756302521
CRD,2,10,4,None,0.7833333333333333
CRD,2,10,5,None,0.7586206896551724
CRD,2,10,6,None,0.6782608695652174
CRD,2,10,7,None,0.7256637168141593
CRD,2,10,8,None,0.7936507936507936
CRD,2,10,9,None,0.7804878048780488
CRD,2,10,10,None,0.8067226890756303
CRD,3,10,1,None,0.7256637168141593
CRD,3,10,2,None,0.8099173553719008
CRD,3,10,3,None,0.7478260869565218
CRD,3,10,4,None,0.7256637168141593
CRD,3,10,5,None,0.7457627118644068
CRD,3,10,6,None,0.75
CRD,3,10,7,None,0.75
CRD,3,10,8,None,0.8032786885245902
