experiment,repeat,k,fold,max_depth,f1
CRFD,1,3,1,3,0.008438818565400843
CRFD,1,3,2,3,0.0
CRFD,1,3,3,3,0.0
CRFD,2,3,1,3,0.008438818565400843
CRFD,2,3,2,3,0.008438818565400843
CRFD,2,3,3,3,0.0
CRFD,3,3,1,3,0.0
CRFD,3,3,2,3,0.0
CRFD,3,3,3,3,0.00847457627118644
CRFD,4,3,1,3,0.0
CRFD,4,3,2,3,0.0
CRFD,4,3,3,3,0.00847457627118644
CRFD,5,3,1,3,0.0
CRFD,5,3,2,3,0.0
CRFD,5,3,3,3,0.0
CRFD,6,3,1,3,0.0
CRFD,6,3,2,3,0.0
CRFD,6,3,3,3,0.0
CRFD,7,3,1,3,0.0
CRFD,7,3,2,3,0.0
CRFD,7,3,3,3,0.0
CRFD,8,3,1,3,0.008438818565400843
CRFD,8,3,2,3,0.0
CRFD,8,3,3,3,0.0
CRFD,9,3,1,3,0.0
CRFD,9,3,2,3,0.008438818565400843
CRFD,9,3,3,3,0.0
CRFD,10,3,1,3,0.0
CRFD,10,3,2,3,0.0
CRFD,10,3,3,3,0.00847457627118644
CRFD,1,5,1,3,0.014084507042253521
CRFD,1,5,2,3,0.0
CRFD,1,5,3,3,0.0
CRFD,1,5,4,3,0.0
CRFD,1,5,5,3,0.0
CRFD,2,5,1,3,0.014084507042253521
CRFD,2,5,2,3,0.0
CRFD,2,5,3,3,0.0
CRFD,2,5,4,3,0.0
CRFD,2,5,5,3,0.0
CRFD,3,5,1,3,0.0
CRFD,3,5,2,3,0.0
CRFD,3,5,3,3,0.0
CRFD,3,5,4,3,0.0
CRFD,3,5,5,3,0.013986013986013986
CRFD,4,5,1,3,0.0
CRFD,4,5,2,3,0.0
CRFD,4,5,3,3,0.0
CRFD,4,5,4,3,0.0
CRFD,4,5,5,3,0.0
CRFD,5,5,1,3,0.0
CRFD,5,5,2,3,0.0
CRFD,5,5,3,3,0.0
CRFD,5,5,4,3,0.0
CRFD,5,5,5,3,0.0
CRFD,6,5,1,3,0.0
CRFD,6,5,2,3,0.0
CRFD,6,5,3,3,0.0
CRFD,6,5,4,3,0.0
CRFD,6,5,5,3,0.0
CRFD,7,5,1,3,0.0
CRFD,7,5,2,3,0.0
CRFD,7,5,3,3,0.0
CRFD,7,5,4,3,0.0
CRFD,7,5,5,3,0.0
CRFD,8,5,1,3,0.0
CRFD,8,5,2,3,0.014084507042253521
CRFD,8,5,3,3,0.0
CRFD,8,5,4,3,0.0
CRFD,8,5,5,3,0.0
CRFD,9,5,1,3,0.0
CRFD,9,5,2,3,0.014084507042253521
CRFD,9,5,3,3,0.0
CRFD,9,5,4,3,0.0
CRFD,9,5,5,3,0.0
CRFD,10,5,1,3,0.0
CRFD,10,5,2,3,0.0
CRFD,10,5,3,3,0.0
CRFD,10,5,4,3,0.0
CRFD,10,5,5,3,0.0
CRFD,1,10,1,3,0.0
CRFD,1,10,2,3,0.0
CRFD,1,10,3,3,0.0
CRFD,1,10,4,3,0.0
CRFD,1,10,5,3,0.0
CRFD,1,10,6,3,0.0
CRFD,1,10,7,3,0.0
CRFD,1,10,8,3,0.0
CRFD,1,10,9,3,0.0
CRFD,1,10,10,3,0.0
CRFD,2,10,1,3,0.0
CRFD,2,10,2,3,0.0
CRFD,2,10,3,3,0.0
CRFD,2,10,4,3,0.0
CRFD,2,10,5,3,0.0
CRFD,2,10,6,3,0.0
CRFD,2,10,7,3,0.0
CRFD,2,10,8,3,0.0
CRFD,2,10,9,3,0.0
CRFD,2,10,10,3,0.0
CRFD,3,10,1,3,0.0
CRFD,3,10,2,3,0.0
CRFD,3,10,3,3,0.0
CRFD,3,10,4,3,0.0
CRFD,3,10,5,3,0.0
CRFD,3,10,6,3,0.0
CRFD,3,10,7,3,0.0
CRFD,3,10,8,3,0.0
CRFD,3,10,9,3,0.0
CRFD,3,10,10,3,0.0
CRFD,4,10,1,3,0.0
CRFD,4,10,2,3,0.0
CRFD,4,10,3,3,0.0
CRFD,4,10,4,3,0.0
CRFD,4,10,5,3,0.0
CRFD,4,10,6,3,0.0
CRFD,4,10,7,3,0.0
CRFD,4,10,8,3,0.0
CRFD,4,10,9,3,0.0
CRFD,4,10,10,3,0.0
CRFD,5,10,1,3,0.0
CRFD,5,10,2,3,0.0
CRFD,5,10,3,3,0.0
CRFD,5,10,4,3,0.0
CRFD,5,10,5,3,0.0
CRFD,5,10,6,3,0.0
CRFD,5,10,7,3,0.0
CRFD,5,10,8,3,0.0
CRFD,5,10,9,3,0.0
CRFD,5,10,10,3,0.0
CRFD,6,10,1,3,0.0
CRFD,6,10,2,3,0.0
CRFD,6,10,3,3,0.0
CRFD,6,10,4,3,0.0
CRFD,6,10,5,3,0.0
CRFD,6,10,6,3,0.0
CRFD,6,10,7,3,0.0
CRFD,6,10,8,3,0.0
CRFD,6,10,9,3,0.0
CRFD,6,10,10,3,0.0
CRFD,7,10,1,3,0.0
CRFD,7,10,2,3,0.0
CRFD,7,10,3,3,0.0
CRFD,7,10,4,3,0.0
CRFD,7,10,5,3,0.0
CRFD,7,10,6,3,0.0
CRFD,7,10,7,3,0.0
CRFD,7,10,8,3,0.0
CRFD,7,10,9,3,0.0
CRFD,7,10,10,3,0.0
CRFD,8,10,1,3,0.0
CRFD,8,10,2,3,0.0
CRFD,8,10,3,3,0.0
CRFD,8,10,4,3,0.0
CRFD,8,10,5,3,0.0
CRFD,8,10,6,3,0.0
CRFD,8,10,7,3,0.0
CRFD,8,10,8,3,0.0
CRFD,8,10,9,3,0.0
CRFD,8,10,10,3,0.0
CRFD,9,10,1,3,0.0
CRFD,9,10,2,3,0.0
CRFD,9,10,3,3,0.0
CRFD,9,10,4,3,0.027777777777777776
CRFD,9,10,5,3,0.0
CRFD,9,10,6,3,0.0
CRFD,9,10,7,3,0.0
CRFD,9,10,8,3,0.0
CRFD,9,10,9,3,0.0
CRFD,9,10,10,3,0.0
CRFD,10,10,1,3,0.0
CRFD,10,10,2,3,0.0
CRFD,10,10,3,3,0.0
CRFD,10,10,4,3,0.0
CRFD,10,10,5,3,0.0
CRFD,10,10,6,3,0.0
CRFD,10,10,7,3,0.0
CRFD,10,10,8,3,0.0
CRFD,10,10,9,3,0.0
CRFD,10,10,10,3,0.027777777777777776
CRFD,1,3,1,5,0.04149377593360996
CRFD,1,3,2,5,0.06557377049180328
CRFD,1,3,3,5,0.06584362139917696
CRFD,2,3,1,5,0.07317073170731707
CRFD,2,3,2,5,0.10441767068273092
CRFD,2,3,3,5,0.04979253112033195
CRFD,3,3,1,5,0.02510460251046025
CRFD,3,3,2,5,0.07346938775510205
CRFD,3,3,3,5,0.06557377049180328
CRFD,4,3,1,5,0.0967741935483871
CRFD,4,3,2,5,0.096
CRFD,4,3,3,5,0.041666666666666664
CRFD,5,3,1,5,0.04149377593360996
CRFD,5,3,2,5,0.049586776859504134
CRFD,5,3,3,5,0.08943089430894309
CRFD,6,3,1,5,0.06557377049180328
CRFD,6,3,2,5,0.08097165991902834
CRFD,6,3,3,5,0.06584362139917696
CRFD,7,3,1,5,0.049586776859504134
CRFD,7,3,2,5,0.05761316872427984
CRFD,7,3,3,5,0.07346938775510205
CRFD,8,3,1,5,0.04149377593360996
